Año ;Mes;Total;Confeccionistas;Electrónicas;Plásticas;Textiles;Pesqueras;Mecánica;Otras
;;;;;;;;;
2001;Enero ;50;6;22;8;8;2;s/d;4
2001;Febrero;47;6;21;7;8;1;s/d;4
2001;Marzo;47;6;21;7;8;1;s/d;4
2001;Abril;47;6;20;8;8;1;s/d;4
2001;Mayo;47;6;20;8;8;1;s/d;4
2001;Junio;47;6;20;8;8;1;s/d;4
2001;Julio;47;6;20;8;8;1;s/d;4
2001;Agosto;47;6;20;8;8;1;s/d;4
2001;Septiembre;47;6;20;8;8;1;s/d;4
2001;Octubre;47;6;20;8;8;1;s/d;4
2001;Noviembre;46;5;20;8;8;1;s/d;4
2001;Diciembre;38;5;17;7;7;0;s/d;2
2002;enero;46;6;18;8;8;2;s/d;4
2002;febrero;45;6;17;8;8;2;s/d;4
2002;marzo;45;6;17;8;8;2;s/d;4
2002;abril;45;6;17;8;8;2;s/d;4
2002;mayo;44;6;16;8;8;2;s/d;4
2002;junio;44;6;16;8;8;2;s/d;4
2002;julio;44;6;16;8;8;2;s/d;4
2002;agosto;44;6;16;8;8;2;s/d;4
2002;septiembre;45;6;16;9;8;2;s/d;4
2002;octubre;45;6;16;9;8;2;s/d;4
2002;noviembre;43;5;16;9;8;1;s/d;4
2002;diciembre;39;5;16;8;7;0;s/d;3
2003;enero;45;6;16;9;8;2;s/d;4
2003;febrero;45;6;16;9;8;2;s/d;4
2003;marzo;45;6;16;9;8;2;s/d;4
2003;abril;45;6;16;9;8;2;s/d;4
2003;mayo;45;6;16;9;8;2;s/d;4
2003;junio;44;6;16;9;7;2;s/d;4
2003;julio;44;6;16;9;7;2;s/d;4
2003;agosto;45;6;16;9;8;2;s/d;4
2003;septiembre;45;6;16;9;8;2;s/d;4
2003;octubre;45;6;16;9;8;2;s/d;4
2003;noviembre;45;6;16;9;8;2;s/d;4
2003;diciembre;44;6;16;9;7;2;s/d;4
2004;enero;47;6;18;9;8;2;s/d;4
2004;febrero;47;6;18;9;8;2;s/d;4
2004;marzo;47;6;18;9;8;2;s/d;4
2004;abril;47;6;18;9;8;2;s/d;4
2004;mayo;47;6;18;9;8;2;s/d;4
2004;junio;47;6;18;9;8;2;s/d;4
2004;julio;47;6;18;9;8;2;s/d;4
2004;agosto;47;6;18;9;8;2;s/d;4
2004;septiembre;47;6;18;9;8;2;s/d;4
2004;octubre;47;6;19;9;8;1;s/d;4
2004;noviembre;47;6;19;9;8;1;s/d;4
2004;diciembre;44;5;19;9;7;0;s/d;4
2005;enero;48;6;19;9;8;2;s/d;4
2005;febrero;48;6;19;9;8;2;s/d;4
2005;marzo;48;6;19;9;8;2;s/d;4
2005;abril;49;6;20;9;8;2;s/d;4
2005;mayo;49;6;20;9;8;2;s/d;4
2005;junio;48;6;20;8;8;2;s/d;4
2005;julio;49;6;20;9;8;2;s/d;4
2005;agosto;49;6;20;9;8;2;s/d;4
2005;septiembre;47;6;20;8;8;1;s/d;4
2005;octubre;44;6;18;8;8;1;s/d;3
2005;noviembre;49;6;22;9;8;2;s/d;2
2005;diciembre;45;6;21;8;7;1;s/d;2
