Año;Mes;Confeccionistas;Electrónicas;Plásticas;Textiles;Pesqueras;Otras;;
2001;Enero ;326;2.652;284;274;353;90;;
2001;Febrero;323;2.624;282;283;278;92;;
2001;Marzo;333;2.629;284;286;275;94;;
2001;Abril;337;2.249;289;283;273;103;;
2001;Mayo;346;2.323;289;306;262;107;;
2001;Junio;352;2.374;295;329;259;105;;
2001;Julio;354;2.327;296;329;166;112;;
2001;Agosto;351;2.637;294;345;166;113;;
2001;Septiembre;347;2.587;300;338;188;115;;
2001;Octubre;339;2.476;305;321;187;117;;
2001;Noviembre;307;2.483;297;301;192;122;;
2001;Diciembre;301;1.911;250;261;0;46;;
2002;enero;317;1.799;282;256;212;101;;
2002;febrero;314;1.782;284;257;224;103;;
2002;marzo;313;1.667;277;261;227;103;;
2002;abril;309;1.552;275;252;229;103;;
2002;mayo;307;1.469;270;252;232;103;;
2002;junio;306;1.396;270;231;229;110;;
2002;julio;305;1.340;270;240;227;110;;
2002;agosto;291;1.325;274;242;226;109;;
2002;septiembre;287;1.303;288;260;225;109;;
2002;octubre;288;1.276;293;272;230;109;;
2002;noviembre;267;1.267;305;289;192;105;;
2002;diciembre;267;1.254;296;297;0;35;;
2003;enero;296;1.252;306;298;228;124;;
2003;febrero;303;1.251;307;285;231;129;;
2003;marzo;304;1.226;309;320;234;134;;
2003;abril;318;1.248;314;325;228;134;;
2003;mayo;338;1.214;316;334;229;136;;
2003;junio;345;1.105;319;336;229;134;;
2003;julio;361;1.116;331;345;241;126;;
2003;agosto;367;1.207;347;376;235;124;;
2003;septiembre;377;1.277;383;382;239;128;;
2003;octubre;415;1.419;396;394;235;126;;
2003;noviembre;402;1.402;398;390;226;131;;
2003;diciembre;402;1.271;415;388;237;130;;
2004;enero;407;1.349;429;410;230;127;;
2004;febrero;419;1.359;463;424;234;135;;
2004;marzo;425;1.504;484;415;246;136;;
2004;abril;421;1.559;491;411;246;135;;
2004;mayo;426;1.688;463;427;246;128;;
2004;junio;424;1.756;435;434;246;128;;
2004;julio;432;1.706;425;441;252;125;;
2004;agosto;434;2.110;435;450;252;126;;
2004;septiembre;430;2.573;449;443;256;124;;
2004;octubre;432;2.704;467;464;219;123;;
2004;noviembre;445;2.590;501;466;219;130;;
2004;diciembre;421;1.964;515;448;0;126;;
2005;enero;475;1.766;533;472;255;122;;
2005;febrero;488;1.775;537;485;259;127;;
2005;marzo;506;1.934;570;500;270;129;;
2005;abril;508;1.985;575;509;276;131;;
2005;mayo;525;2.229;553;515;274;128;;
2005;junio;541;2.530;487;525;277;126;;
2005;julio;533;2.638;555;536;275;126;;
2005;agosto;534;3.044;565;530;278;125;;
2005;septiembre;532;3.373;549;545;170;125;;
2005;octubre;541;3.405;570;557;118;126;;
2005;noviembre;550;3.818;615;576;269;127;;
2005;diciembre;546;3.549;606;587;41;128;;
2006;enero;552;3.052;696;585;285;125;;
2006;febrero;596;3.312;701;579;283;121;;
2006;marzo;658;3.482;650;574;297;125;;
2006;abril;651;3.711;639;557;304;117;;
2006;mayo;654;3.688;661;558;312;113;;
2006;junio;660;3.892;627;561;307;115;;
2006;julio;662;3.878;638;567;306;116;;
2006;agosto;677;4.164;661;567;306;112;;
2006;septiembre;672;4.359;667;576;301;55;;
2006;octubre;656;4.510;678;596;304;112;;
2006;noviembre;673;4.451;706;600;295;114;;
2006;diciembre;668;3.317;647;619;279;112;;
2007;enero;664;2.814;608;613;286;113;;
2007;febrero;689;2.865;612;616;286;115;;
2007;marzo;700;3.345;649;609;294;119;;
2007;abril;754;3.457;664;616;292;120;;
2007;mayo;767;3.818;651;617;295;121;;
2007;junio;737;4.323;655;613;296;120;;
2007;julio;735;4.811;663;607;292;122;;
2007;agosto;731;4.987;713;615;293;123;;
2007;septiembre;732;5.138;734;621;295;123;;
2007;octubre;740;5.149;720;627;292;118;;
2007;noviembre;732;5.252;719;635;271;106;;
2007;diciembre;723;4.164;708;623;22;66;;
2008;enero;707;3.549;722;639;316;179;;
2008;febrero;710;3.732;803;639;378;183;;
2008;marzo;718;3.813;711;628;454;190;;
2008;abril;727;3.909;712;634;557;189;;
2008;mayo;722;4.243;702;645;543;94;;
2008;junio;722;4.707;699;616;554;94;;
2008;julio;703;5.000;691;621;544;96;;
2008;agosto;668;5.055;663;619;509;91;;
2008;septiembre;630;5.175;654;619;500;92;;
2008;octubre;600;5.181;644;618;514;94;;
2008;noviembre;600;5.063;648;623;487;93;;
2008;diciembre;595;3.962;644;612;482;92;;
2009;enero;597;3.493;704;622;501;189;;
2009;febrero;593;2.999;710;629;489;189;;
2009;marzo;589;2.916;700;619;496;189;;
2009;abril;570;2.905;672;609;497;187;;
2009;mayo;564;2.979;635;613;496;187;;
2009;junio;564;2.912;632;619;516;186;;
2009;julio;563;3.028;622;610;527;183;;
2009;agosto;566;3.411;616;605;507;184;;
2009;septiembre;556;3.917;648;604;508;184;;
2009;octubre;577;4.367;653;616;510;84;;
2009;noviembre;577;4.657;652;618;481;81;;
2009;diciembre;574;4.293;683;616;540;60;;
2010;enero;572;4.376;753;627;500;80;;
2010;febrero;574;4.590;724;623;504;78;;
2010;marzo;580;4.681;734;638;476;77;;
