Año;Mes;Total (unidades);Colcha;Cubrecama;Frazada;Funda;Juego de Sabana;Juego de Toalla;Manta;Mantel;Sabana;Toalla;;Total Tejidos (Kg);
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2013;Ene;219.953;28.130;0;892;61.157;90.041;0;0;5.619;16.264;17.850;;s/d;
2013;Feb;478.428;42.365;0;0;46.998;328.578;1.827;625;48;31.782;26.159;;s/d;
2013;Mar;455.248;49.833;0;5.168;38.945;293.724;24.201;2.100;0;24.353;16.924;;s/d;
2013;Apr;569.380;54.631;0;480;76.538;299.703;23.417;1.425;0;51.275;61.875;;s/d;
2013;May;610.624;58.369;0;4.231;102.410;336.877;5.706;5.738;11.183;22.957;63.153;;s/d;
2013;Jun;517.452;16.591;0;0;54.180;344.855;3.619;3.117;11.104;21.948;62.038;;s/d;
2013;Jul;559.855;6.479;0;495;66.335;397.134;15.458;4.161;1.203;42.223;26.367;;s/d;
2013;Ago;579.140;8.899;0;0;54.397;432.945;8.835;1.675;589;26.413;45.387;;s/d;
2013;Sep;481.588;2.113;0;0;33.143;307.868;12.122;0;51.743;47.370;27.229;;s/d;
2013;Oct;517.940;46;0;0;17.780;358.912;16.397;0;27.002;55.166;42.637;;s/d;
2013;Nov;471.284;1.137;0;15;30.357;335.253;18.626;9;19.883;22.939;43.065;;s/d;
2013;Dic;319.524;204;0;0;43.132;213.858;5.386;1.000;8.926;10.235;36.783;;s/d;
2014;Ene;243.751;21.268;0;0;33.131;122.274;2.215;250;67;18.874;45.672;;19.288;
2014;Feb;386.730;61.400;0;0;44.342;224.069;6.592;0;4.639;43.007;2.681;;32.824;
2014;Mar;413.565;73.590;0;0;25.259;297.492;8.478;3.400;2.889;1.425;1.032;;43.408;
2014;Apr;446.065;61.521;0;0;43.820;289.584;4.488;4.634;0;20.594;21.424;;45.938;
2014;May;547.531;34.182;0;0;111.097;280.262;6.048;9.624;3.032;58.170;45.116;;67.956;
2014;Jun;450.209;7.455;0;15;61.425;288.801;10.808;11.006;8.231;23.749;38.719;;58.337;
2014;Jul;350.009;442;0;0;16.513;271.976;5.996;9.124;5.829;29.757;10.372;;57.056;
2014;Ago;365.418;205;0;0;60.871;248.932;5.914;4.370;4.275;28.138;12.713;;56.286;
2014;Sep;419.830;283;0;0;38.582;285.852;3.255;4.000;17.713;47.395;22.750;;43.536;
2014;Oct;462.323;90;0;0;35.481;255.675;3.446;0;17.002;81.074;69.555;;7.057;
2014;Nov;375.165;6;0;20;49.624;175.306;11.498;6;3.259;72.861;62.585;;48.064;
2014;Dic;207.726;310;0;0;11.586;134.520;6.045;0;2;33.021;22.242;;78.173;
2015;Ene;228.059;17.012;0;0;20.130;154.902;24.694;0;0;8.678;2.643;;18.475;
2015;Feb;376.008;39.711;0;18.614;33.173;224.844;9.130;0;393;26.396;23.747;;47.784;
2015;Mar;418.446;70.214;0;9.512;60.003;202.272;3.180;4.231;2.423;42.943;23.668;;37.717;
2015;Apr;402.080;68.643;0;870;14.039;255.416;16.335;0;79;19.674;27.024;;55.531;
2015;May;348.626;29.842;0;416;49.102;215.067;18.158;257;6;28.952;6.826;;27.279;
