Año;Mes; Total (unidades);Acondicionador de Aire;Afeitadora Eléctrica;Aspiradora;Autorradio;Cámara Fotográfica Digital;Computadora Portátil;Decodificador de Video;Depiladora Eléctrica;Equipo de Radiocomunicaciones Móviles Celulares;Horno/Cocina a Microondas;Lavarropas;Módem;Módulo Electrónico para Automotor;Monitor;Reproductor de Video;Sistema de Audio;Tablet PC;Televisor;Unidades Evaporadoras Condensadoras;Videocámara
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
2013;Ene;1.260.521;77.671;17.400;0;10.922;31.894;125.926;93.071;4.320;609.990;38.094;273;0;23.797;43.086;26.593;10.999;4.204;136.796;966;4.519
2013;Feb;1.559.546;90.403;34.000;0;20.220;23.598;100.638;157.971;7.480;703.500;32.936;1.561;0;26.602;65.445;43.981;21.666;10.796;207.715;4.944;6.090
2013;Mar;1.935.759;115.115;45.120;0;31.615;31.864;71.560;209.723;7.520;918.733;62.302;3.353;0;36.371;28.534;47.839;27.683;0;288.394;3.041;6.992
2013;Apr;2.072.806;78.426;38.320;0;24.317;20.519;115.290;234.551;10.620;1.083.534;46.865;776;0;39.229;24.764;58.850;21.227;0;268.295;1.257;5.966
2013;May;2.538.083;108.772;49.380;1.438;36.265;26.406;137.272;298.732;13.880;1.293.334;63.549;2.296;0;48.379;40.177;67.549;25.283;0;320.475;722;4.174
2013;Jun;1.885.665;110.988;15.380;1.051;23.825;14.934;75.592;182.351;8.640;975.276;60.093;2.340;0;39.270;32.458;66.025;25.693;0;242.914;4.441;4.394
2013;Jul;2.532.568;175.492;2.400;0;26.055;13.582;128.597;218.302;14.920;1.347.973;67.710;3.235;0;52.965;79.699;67.880;33.519;5;297.917;1.812;505
2013;Ago;2.370.333;175.810;2.160;0;29.985;28.626;134.099;171.733;13.480;1.311.342;54.973;3.104;0;55.379;43.324;38.049;24.821;195;283.241;1;11
2013;Sep;2.656.865;209.362;4.000;0;28.367;19.236;185.282;112.905;12.520;1.486.191;80.242;1.706;0;43.244;60.434;50.295;17.966;987;342.111;1.177;840
2013;Oct;2.852.557;221.929;12.780;0;22.485;15.002;176.415;120.484;12.400;1.629.422;67.457;5.282;0;35.812;71.309;65.177;19.902;0;366.582;2.844;7.275
2013;Nov;2.196.604;177.700;10.700;0;23.314;21.364;115.489;137.953;11.000;1.128.780;51.768;4.052;0;33.746;88.323;32.650;18.586;1;325.954;3.025;12.199
2013;Dic;1.889.497;114.089;9.400;5;15.660;24.366;66.592;100.552;10.840;1.108.327;30.157;1.094;0;24.664;38.652;26.512;14.368;4.174;285.050;4.261;10.734
2014;Ene;1.044.445;26.339;8.800;0;3.118;3.086;27.243;46.276;4.840;634.468;15.048;1;0;6.000;34.791;7.920;1.234;0;218.513;87;6.681
2014;Feb;1.820.322;46.125;26.400;0;27.589;8.786;70.785;59.840;10.120;1.104.623;29.362;1.875;0;38.910;59.783;15.879;3.628;1.479;301.255;487;13.396
2014;Mar;1.674.833;29.529;19.100;0;26.721;10.540;68.245;51.260;10.164;1.037.233;29.372;2.640;0;35.559;29.845;20.891;2.277;1.756;293.312;2.345;4.044
