Evolución mensual de la producción de los principales productos pesqueros en la Provincia de Tierra del Fuego AeIAS;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Período ;; Total (1); Principales productos de la Industria Pesquera;;;;;;;;;;;;;;;;;;;;
;;; Callos de vieiras congelados individualmente;Harina;Moluscos y crustáceos;Pescado Congelado;Surimi;;;;;;;;;;;;;;;;
;; Kilos;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2013;Ene;2.056.519;303.675;126.180;-;1.174.234;451.800;;;;;;;;;;;;;;;;
;Feb;2.016.742;121.520;201.090;-;1.023.052;671.080;;;;;;;;;;;;;;;;
;Mar;1.658.171;150.660;126.180;38.223;897.447;445.540;;;;;;;;;;;;;;;;
;Apr;2.612.904;236.520;204.900;288;1.450.617;720.580;;;;;;;;;;;;;;;;
;May;1.993.512;132.025;172.290;-;1.260.137;429.060;;;;;;;;;;;;;;;;
;Jun;1.168.441;127.485;98.430;-;642.086;300.440;;;;;;;;;;;;;;;;
;Jul;1.005.065;104.630;120.420;-;445.875;334.140;;;;;;;;;;;;;;;;
;Ago;406.121;-;68.010;-;19.671;318.440;;;;;;;;;;;;;;;;
;Sep;594.932;-;113.070;-;17.262;464.600;;;;;;;;;;;;;;;;
;Oct;1.220.778;133.350;156.330;-;397.138;533.960;;;;;;;;;;;;;;;;
;Nov;1.324.136;106.680;149.670;-;501.266;566.520;;;;;;;;;;;;;;;;
;Dic;1.316.084;122.920;136.290;-;516.194;540.680;;;;;;;;;;;;;;;;
2014;Ene;1.539.932;126.290;182.820;-;438.362;792.460;;;;;;;;;;;;;;;;
;Feb;1.670.785;162.085;136.230;22.163;983.868;366.440;;;;;;;;;;;;;;;;
;Mar;1.750.969;117.225;130.200;31.063;1.164.399;308.060;;;;;;;;;;;;;;;;
;Apr;2.488.762;151.260;259.340;-;1.419.842;658.320;;;;;;;;;;;;;;;;
;May;2.360.634;158.100;204.250;4.000;1.488.324;505.960;;;;;;;;;;;;;;;;
;Jun;1.259.027;97.690;67.620;-;939.657;154.060;;;;;;;;;;;;;;;;
;Jul;199.647;99.590;6.210;-;93.347;500;;;;;;;;;;;;;;;;
;Ago;849.743;71.560;88.530;-;349.013;340.640;;;;;;;;;;;;;;;;
;Sep;937.891;55.730;85.064;-;550.057;247.040;;;;;;;;;;;;;;;;
;Oct;1.633.869;140.360;70.576;-;1.163.433;259.500;;;;;;;;;;;;;;;;
;Nov;1.166.999;78.700;117.060;-;440.879;530.360;;;;;;;;;;;;;;;;
