Año;Mes; Total (Kg);Compuesto de PVC (Kg);Film y bolsas de polietileno (Kg);Total (Unidades);Abrazadera Plástica;Bombas pulverizadoras y/o dispensadoras;Envases Plásticos;Preformas de PET;Tapas;Tapas plásticas
;;;;;;;;;;;
;;;;;;;;;;;
2013;Ene;7.415.631;927.265;6.488.366;158.617.016;4.000;0;25.970.800;132.192.216;0;450.000
2013;Feb;7.822.623;1.044.712;6.777.911;109.140.618;0;0;16.648.472;91.412.146;0;1.080.000
2013;Mar;8.822.137;1.335.049;7.487.088;139.677.593;3.000;1.600;25.230.974;112.750.519;2.000;1.689.500
2013;Apr;9.082.189;1.292.258;7.789.831;122.904.832;0;0;18.416.976;103.032.856;0;1.455.000
2013;May;8.274.301;1.359.830;6.907.871;120.616.108;0;0;15.235.632;103.845.476;0;1.535.000
2013;Jun;6.730.647;1.209.381;5.521.266;136.074.967;0;0;18.427.520;116.305.447;0;1.342.000
2013;Jul;7.355.424;1.346.512;6.008.912;159.462.012;0;0;19.502.896;138.642.116;0;1.317.000
2013;Ago;7.578.185;1.189.764;6.388.421;159.114.715;0;1.830;26.821.952;131.077.933;0;1.213.000
2013;Sep;8.049.806;1.495.823;6.553.983;133.268.187;3.000;1.300;26.451.012;105.312.375;2.000;1.498.500
2013;Oct;8.469.223;1.691.183;6.777.940;148.769.868;0;0;27.885.616;119.402.252;0;1.482.000
2013;Nov;6.927.031;1.046.478;5.880.553;167.654.248;0;0;32.654.464;134.224.784;0;775.000
2013;Dic;5.297.455;1.149.728;4.147.727;165.450.349;0;0;28.093.288;136.919.061;0;438.000
2014;Ene;5.063.428;1.183.230;3.880.198;165.598.987;0;0;29.859.648;135.465.339;0;274.000
2014;Feb;7.197.488;1.325.224;5.872.264;153.495.932;0;0;29.676.576;123.189.356;0;630.000
2014;Mar;7.938.433;1.013.023;6.925.410;149.265.633;3.000;1.600;27.161.876;121.878.657;2.000;218.500
2014;Apr;7.832.127;1.209.269;6.622.858;133.547.740;0;0;19.071.752;113.649.988;0;826.000
2014;May;8.139.937;1.390.144;6.749.793;121.033.811;0;0;22.010.616;98.381.495;0;641.700
2014;Jun;7.377.338;1.133.322;6.244.016;99.920.872;0;0;27.441.480;71.778.392;0;701.000
2014;Jul;7.688.990;1.418.447;6.270.543;104.569.192;0;54.400;16.153.512;87.680.280;0;681.000
2014;Ago;8.947.520;1.259.703;7.687.817;137.461.464;0;0;23.392.648;112.961.816;0;1.107.000
2014;Sep;7.450.281;1.392.076;6.058.205;144.409.500;3.000;800;23.915.446;119.422.754;2.000;1.065.500
2014;Oct;8.947.616;1.465.984;7.481.632;155.884.505;0;100.000;20.364.720;135.074.785;0;345.000
2014;Nov;7.963.218;1.080.322;6.882.896;161.754.742;0;0;28.614.376;131.837.666;0;1.302.700
2014;Dic;6.208.416;1.015.212;5.193.204;162.382.628;0;0;25.986.848;135.680.780;0;715.000
2015;Ene;5.699.209;1.213.092;4.486.117;167.592.303;0;0;32.819.112;134.556.191;0;217.000
2015;Feb;6.703.243;982.367;5.720.876;153.038.262;0;0;32.558.880;119.601.382;0;878.000
